;Plot_period;Averaging;Primary_energy;Energy_error_low;Energy_error_high;Bg_start;Bg_end;Searchstart;Searchend;Peak_timestamp;Background_flux;Flux_peak;Bg_subtracted_peak;Peak_proton_uncertainty;Bg_proton_uncertainty;Peak_significance;Flux_average;Bg_subtracted_average;Average_significance;Backsub_peak_uncertainty;rel_backsub_peak_err;frac_nonan
0;2021-05-07-1630;Mean;0.0533278;0.0038178004;0.004112199;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 18:00:00;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;;0.0;;1.0
1;;;0.061322063;0.0035320632;0.00374794;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 21:01:00;78.461555;1994.2311;1915.7695;891.847265625;22.64989896816525;10.90558910369873;160.53148;82.06992;0.4671860933303833;892.13483461081;0.4656796238056414;1.0
2;;;2.5464032;0.10888314;0.11374688;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 18:00:00;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;;0.0;;1.0
3;2021-05-07-1630;Mean;7.197842;0.15284204;0.15615797;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 21:50:00;0.0;0.8494084;0.8494084;0.4247041940689087;0.0;inf;0.032601777;0.032601777;inf;0.4247041940689087;0.5;1.0
4;;;8.181611;0.2916112;0.30238914;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 21:54:00;0.0;0.43501338;0.43501338;0.2175066868464152;0.0;inf;0.017599087;0.017599087;inf;0.2175066868464152;0.499999988581837;1.0
5;;;8.8270645;0.3430643;0.3569355;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 21:49:00;0.0;0.37495312;0.37495312;0.1874765555063883;0.0;inf;0.01555822;0.01555822;inf;0.1874765555063883;0.4999999867528673;1.0
6;;;10.859337;0.11933708;0.12066269;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 21:54:00;0.0;2.104377;2.104377;0.7953797976175944;0.0;inf;0.07609188;0.07609188;inf;0.7953797976175944;0.3779644929484439;1.0
7;;;11.163466;0.18346691;0.18653297;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 21:50:00;0.0;1.0557432;1.0557432;0.4310053586959839;0.0;inf;0.056948803;0.056948803;inf;0.4310053586959839;0.4082482857238351;1.0
8;;;11.572813;0.22281265;0.22718716;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 21:50:00;0.0;0.54667217;0.54667217;0.2733360727628072;0.0;inf;0.028354365;0.028354365;inf;0.2733360727628072;0.4999999818280349;1.0
9;;;12.110905;0.3109045;0.3190956;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 21:57:00;0.0;0.3919263;0.3919263;0.1959631443023681;0.0;inf;0.02439375;0.02439375;inf;0.1959631443023681;0.5;1.0
10;;;13.0400305;0.6100302;0.6399698;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 21:55:00;0.00083109975;0.3041825;0.3033514;0.1241819858551025;0.0008310997258118;46.733463;0.014935655;0.014104554;2.172907829284668;0.1241847669308564;0.4093759448493327;1.0
11;;;17.496399;0.67639923;0.70359993;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 22:00:00;0.0;0.2703872;0.2703872;0.110385109980901;0.0;inf;0.0091625;0.0091625;inf;0.110385109980901;0.4082482786158179;1.0
